Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 16 february 2019,Liga,FC Barcelona,Real Valladolid,Real Valladolid,43,1,0,Penalty,Left foot,Won
 13 january 2019,Liga,FC Barcelona,Eibar,Eibar,53,2,0,Field goal,Left foot,Won
 22 december 2018,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,45,2,0,Field goal,Left foot,Won
 20 october 2018,Liga,FC Barcelona,Sevilla,Sevilla,12,2,0,Field goal,Left foot,Won
 23 september 2018,Liga,FC Barcelona,Girona,Girona,19,1,0,Field goal,Left foot,Draw
 18 august 2018,Liga,FC Barcelona,Alaves ,Alaves ,90+2,3,0,Field goal,Left foot,Won
 18 august 2018,Liga,FC Barcelona,Alaves ,Alaves ,64,1,0,Free kick,Left foot,Won
 9 may 2018,Liga,FC Barcelona,Villarreal,Villarreal,45,3,0,Field goal,Left foot,Won
 7 april 2018,Liga,FC Barcelona,Leganes,Leganes,32,2,0,Field goal,Left foot,Won
 7 april 2018,Liga,FC Barcelona,Leganes,Leganes,27,1,0,Free kick,Left foot,Won
 18 march 2018,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,30,2,0,Field goal,Left foot,Won
 4 march 2018,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,26,1,0,Free kick,Left foot,Won
 7 january 2018,Liga,FC Barcelona,Levante,Levante,12,1,0,Field goal,Left foot,Won
 1 october 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,77,3,0,Field goal,Left foot,Won
 1 october 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,71,2,0,Field goal,Left foot,Won
 19 september 2017,Liga,FC Barcelona,Eibar,Eibar,20,1,0,Penalty,Left foot,Won
 9 september 2017,Liga,FC Barcelona,Espanyol,Espanyol,67,3,0,Field goal,Left foot,Won
 9 september 2017,Liga,FC Barcelona,Espanyol,Espanyol,26,1,0,Field goal,Left foot,Won
 26 april 2017,Liga,FC Barcelona,Osasuna,Osasuna,12,1,0,Field goal,Left foot,Won
 15 april 2017,Liga,FC Barcelona,Real Sociedad,Real Sociedad,37,2,0,Rebound,Left foot,Won
 15 april 2017,Liga,FC Barcelona,Real Sociedad,Real Sociedad,17,1,0,Field goal,Left foot,Won
 5 april 2017,Liga,FC Barcelona,Sevilla,Sevilla,33,3,0,Field goal,Left foot,Won
 4 march 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,64,5,0,Solo run,Left foot,Won
 4 march 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,24,1,0,Solo run,Left foot,Won
 4 february 2017,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,40,2,0,Free kick,Left foot,Won
 15 october 2016,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,58,4,0,Field goal,Left foot,Won
 8 may 2016,Liga,FC Barcelona,Espanyol,Espanyol,8,1,0,Free kick,Left foot,Won
 12 march 2016,Liga,FC Barcelona,Getafe,Getafe,40,4,0,Field goal,Left foot,Won
 14 february 2016,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,28,1,0,Free kick,Left foot,Won
 17 january 2016,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,7,1,0,Penalty,Left foot,Won
